order_ID,date,product_ID,units_sold,selling_price,revenue,product_name,category,cost_price,stock_available,lead_time,supplier,daily_avg_sales,days_of_stock,total_sales_product,inventory_turnover,inventory_risk,reorder_point,reorder_flag
1000,2024-02-23,P030,8,438,3504,Table Lamp,Home & Kitchen,335,130,4,ITC Distribution Network,5.13,25.0,487,4.0,Low Risk,51.0,Sufficient
1001,2024-03-27,P033,9,261,2349,Organic Rice 5kg,Grocery,158,468,8,Flipkart Wholesale,5.06,92.0,501,1.0,Low Risk,70.0,Sufficient
1002,2024-05-08,P009,9,279,2511,Laptop Backpack,Electronics,221,416,2,Flipkart Wholesale,5.18,80.0,534,1.0,Low Risk,40.0,Sufficient
1003,2024-05-26,P047,2,369,738,Mobile Charger,Electronics,120,456,5,Tata Consumer Distribution,4.73,96.0,478,1.0,Low Risk,54.0,Sufficient
1004,2024-05-05,P001,9,418,3762,Wireless Mouse,Electronics,202,264,9,D-Mart Supply Services,5.05,52.0,475,2.0,Low Risk,75.0,Sufficient
1005,2024-05-09,P044,7,374,2618,Bath Soap,Personal Care,230,467,8,BigBasket Vendor Network,5.36,87.0,563,1.0,Low Risk,73.0,Sufficient
1006,2024-02-22,P035,5,527,2635,Cooking Oil 1L,Grocery,287,428,5,Reliance Retail Supply,4.73,90.0,487,1.0,Low Risk,54.0,Sufficient
1007,2024-06-20,P011,7,532,3724,Men's Casual Shirt,Clothing,430,329,6,D-Mart Supply Services,5.04,65.0,524,2.0,Low Risk,60.0,Sufficient
1008,2024-06-08,P034,9,539,4851,Wheat Flour 10kg,Grocery,269,338,2,Reliance Retail Supply,5.09,66.0,529,2.0,Low Risk,40.0,Sufficient
1009,2024-06-08,P016,8,488,3904,Sunglasses,Clothing,251,429,6,Metro Cash & Carry India,4.78,90.0,569,1.0,Low Risk,59.0,Sufficient
1010,2024-03-08,P009,6,279,1674,Laptop Backpack,Electronics,221,416,2,Flipkart Wholesale,5.18,80.0,534,1.0,Low Risk,40.0,Sufficient
1011,2024-05-02,P032,4,201,804,Office Chair,Home & Kitchen,148,212,9,Metro Cash & Carry India,4.76,45.0,452,2.0,Low Risk,73.0,Sufficient
1012,2024-05-24,P015,1,619,619,Leather Wallet,Clothing,459,237,2,Reliance Retail Supply,5.06,47.0,531,2.0,Low Risk,40.0,Sufficient
1013,2024-02-07,P012,6,366,2196,Women's Kurti,Clothing,187,459,8,Metro Cash & Carry India,4.78,96.0,550,1.0,Low Risk,68.0,Sufficient
