order_ID,date,product_ID,units_sold,revenue
1000,2024-02-23,P030,8,3504
1001,2024-03-27,P033,9,2349
1002,2024-05-08,P009,9,2511
1003,2024-05-26,P047,2,738
1004,2024-05-05,P001,9,3762
1005,2024-05-09,P044,7,2618
1006,2024-02-22,P035,5,2635
1007,2024-06-20,P011,7,3724
1008,2024-06-08,P034,9,4851
1009,2024-06-08,P016,8,3904
1010,2024-03-08,P009,6,1674
1011,2024-05-02,P032,4,804
1012,2024-05-24,P015,1,619
1013,2024-02-07,P012,6,2196
1014,2024-01-24,P033,3,783
1015,2024-03-09,P045,6,3018
1016,2024-04-25,P014,6,2040
1017,2024-04-07,P008,4,2004
1018,2024-05-18,P008,2,1002
1019,2024-05-23,P027,9,5346
1020,2024-04-06,P012,2,732
1021,2024-05-03,P001,3,1254
1022,2024-03-10,P043,1,482
1023,2024-04-02,P040,7,4998
1024,2024-01-03,P042,1,620
1025,2024-05-27,P011,9,4788
1026,2024-06-12,P039,1,361
1027,2024-05-26,P043,5,2410
1028,2024-03-30,P031,7,4193
1029,2024-05-26,P017,3,1434
1030,2024-05-27,P033,9,2349
1031,2024-04-05,P032,8,1608
1032,2024-02-21,P029,3,1605
1033,2024-06-09,P021,5,2635
1034,2024-06-16,P021,7,3689
1035,2024-05-07,P040,4,2856
1036,2024-02-08,P023,5,3075
1037,2024-03-22,P006,3,1053
1038,2024-04-13,P022,9,5832
1039,2024-05-08,P038,9,3303
1040,2024-01-11,P037,7,3892
1041,2024-06-26,P045,2,1006
1042,2024-05-30,P008,7,3507
1043,2024-06-07,P041,7,2751
1044,2024-02-11,P035,5,2635
1045,2024-04-08,P011,9,4788
1046,2024-01-07,P024,3,1512
1047,2024-05-23,P021,4,2108
1048,2024-03-30,P002,1,515
1049,2024-04-21,P040,6,4284
1050,2024-02-29,P019,4,1860
1051,2024-04-22,P039,1,361
1052,2024-01-02,P028,2,344
1053,2024-05-08,P017,3,1434
1054,2024-02-17,P006,9,3159
1055,2024-05-19,P019,8,3720
1056,2024-02-06,P038,7,2569
1057,2024-06-08,P028,4,688
1058,2024-01-09,P002,1,515
1059,2024-04-08,P038,8,2936
1060,2024-05-26,P037,4,2224
1061,2024-02-17,P004,3,1032
1062,2024-05-10,P022,9,5832
1063,2024-05-27,P026,4,1652
1064,2024-05-31,P043,4,1928
1065,2024-02-23,P036,9,5085
1066,2024-04-29,P013,2,1210
1067,2024-06-09,P032,5,1005
1068,2024-05-31,P017,4,1912
1069,2024-04-25,P041,9,3537
1070,2024-03-15,P036,5,2825
1071,2024-04-22,P046,9,2682
1072,2024-06-12,P019,9,4185
1073,2024-06-14,P035,2,1054
1074,2024-04-13,P046,9,2682
1075,2024-03-24,P040,3,2142
1076,2024-04-21,P028,4,688
1077,2024-04-08,P001,1,418
1078,2024-06-01,P042,1,620
1079,2024-04-02,P018,1,470
1080,2024-05-25,P048,9,6147
1081,2024-05-07,P040,8,5712
1082,2024-04-19,P033,5,1305
1083,2024-03-22,P012,5,1830
1084,2024-02-23,P008,9,4509
1085,2024-06-11,P024,3,1512
1086,2024-06-17,P016,3,1464
1087,2024-06-09,P004,7,2408
1088,2024-03-08,P038,9,3303
1089,2024-02-02,P044,6,2244
1090,2024-05-21,P027,2,1188
1091,2024-01-21,P009,1,279
1092,2024-02-17,P047,2,738
1093,2024-05-27,P016,1,488
1094,2024-05-07,P012,9,3294
1095,2024-05-15,P031,8,4792
1096,2024-05-14,P024,7,3528
1097,2024-05-24,P014,3,1020
1098,2024-05-07,P045,8,4024
1099,2024-02-02,P025,2,950
1100,2024-06-24,P034,2,1078
1101,2024-04-24,P003,3,1653
1102,2024-04-28,P024,7,3528
1103,2024-01-22,P042,1,620
1104,2024-06-06,P009,8,2232
1105,2024-02-07,P026,7,2891
1106,2024-04-18,P020,4,2324
1107,2024-02-20,P040,5,3570
1108,2024-01-08,P010,1,453
1109,2024-01-27,P019,4,1860
1110,2024-01-27,P003,1,551
1111,2024-01-21,P024,1,504
1112,2024-01-30,P005,1,280
1113,2024-04-06,P003,7,3857
1114,2024-01-28,P027,7,4158
1115,2024-04-20,P016,4,1952
1116,2024-03-01,P015,2,1238
1117,2024-02-17,P035,3,1581
1118,2024-05-26,P012,8,2928
1119,2024-01-04,P041,8,3144
1120,2024-02-04,P044,6,2244
1121,2024-02-18,P026,9,3717
1122,2024-01-17,P047,9,3321
1123,2024-06-20,P034,4,2156
1124,2024-06-06,P023,1,615
1125,2024-02-15,P031,1,599
1126,2024-04-26,P020,5,2905
1127,2024-01-06,P012,2,732
1128,2024-04-08,P023,6,3690
1129,2024-05-03,P004,7,2408
1130,2024-02-06,P023,1,615
1131,2024-01-24,P048,6,4098
1132,2024-04-02,P048,8,5464
1133,2024-02-15,P001,5,2090
1134,2024-04-04,P025,7,3325
1135,2024-04-08,P002,6,3090
1136,2024-04-25,P030,4,1752
1137,2024-06-08,P003,7,3857
1138,2024-06-09,P021,9,4743
1139,2024-03-07,P025,7,3325
1140,2024-05-07,P020,5,2905
1141,2024-01-18,P022,7,4536
1142,2024-01-25,P021,3,1581
1143,2024-02-23,P033,2,522
1144,2024-02-27,P038,5,1835
1145,2024-03-07,P015,4,2476
1146,2024-04-13,P046,5,1490
1147,2024-06-22,P015,8,4952
1148,2024-01-24,P046,4,1192
1149,2024-04-23,P025,9,4275
1150,2024-02-01,P021,7,3689
1151,2024-06-23,P024,7,3528
1152,2024-03-26,P005,8,2240
1153,2024-05-30,P006,6,2106
1154,2024-05-06,P043,8,3856
1155,2024-06-03,P048,3,2049
1156,2024-05-09,P044,1,374
1157,2024-01-17,P047,6,2214
1158,2024-04-13,P023,1,615
1159,2024-06-09,P004,9,3096
1160,2024-05-16,P027,2,1188
1161,2024-02-12,P018,2,940
1162,2024-06-24,P021,7,3689
1163,2024-02-08,P028,2,344
1164,2024-06-18,P035,8,4216
1165,2024-01-26,P022,6,3888
1166,2024-04-08,P040,7,4998
1167,2024-02-19,P023,7,4305
1168,2024-06-01,P003,6,3306
1169,2024-05-31,P040,9,6426
1170,2024-01-13,P010,9,4077
1171,2024-02-29,P025,7,3325
1172,2024-05-14,P008,9,4509
1173,2024-02-26,P011,3,1596
1174,2024-02-05,P005,3,840
1175,2024-06-21,P045,1,503
1176,2024-01-20,P037,5,2780
1177,2024-03-05,P045,4,2012
1178,2024-01-08,P038,2,734
1179,2024-05-23,P029,9,4815
1180,2024-05-21,P005,3,840
1181,2024-04-24,P009,8,2232
1182,2024-05-22,P048,6,4098
1183,2024-04-01,P002,5,2575
1184,2024-04-07,P001,1,418
1185,2024-03-06,P040,4,2856
1186,2024-02-01,P030,3,1314
1187,2024-03-26,P011,1,532
1188,2024-02-20,P028,5,860
1189,2024-06-01,P044,6,2244
1190,2024-03-03,P012,2,732
1191,2024-05-04,P039,3,1083
1192,2024-05-29,P026,6,2478
1193,2024-02-27,P013,4,2420
1194,2024-02-27,P008,9,4509
1195,2024-03-26,P028,5,860
1196,2024-02-18,P030,4,1752
1197,2024-06-28,P009,2,558
1198,2024-06-18,P039,6,2166
1199,2024-03-10,P031,2,1198
1200,2024-01-15,P021,7,3689
1201,2024-02-23,P047,3,1107
1202,2024-04-10,P034,9,4851
1203,2024-01-08,P031,5,2995
1204,2024-02-22,P025,8,3800
1205,2024-02-29,P012,6,2196
1206,2024-04-17,P001,8,3344
1207,2024-01-05,P022,3,1944
1208,2024-04-12,P040,3,2142
1209,2024-01-06,P037,5,2780
1210,2024-04-18,P047,3,1107
1211,2024-04-25,P001,8,3344
1212,2024-04-03,P001,8,3344
1213,2024-02-16,P042,2,1240
1214,2024-04-08,P042,4,2480
1215,2024-02-24,P021,1,527
1216,2024-06-16,P015,4,2476
1217,2024-02-21,P017,4,1912
1218,2024-05-23,P022,9,5832
1219,2024-01-13,P038,3,1101
1220,2024-04-23,P035,2,1054
1221,2024-05-03,P045,9,4527
1222,2024-04-15,P016,9,4392
1223,2024-06-06,P008,1,501
1224,2024-05-26,P047,6,2214
1225,2024-05-24,P017,8,3824
1226,2024-04-29,P017,3,1434
1227,2024-03-03,P026,9,3717
1228,2024-01-19,P013,2,1210
1229,2024-04-01,P017,6,2868
1230,2024-02-27,P038,1,367
1231,2024-03-30,P017,7,3346
1232,2024-04-26,P048,3,2049
1233,2024-03-02,P014,7,2380
1234,2024-01-23,P045,4,2012
1235,2024-05-06,P006,9,3159
1236,2024-05-16,P035,5,2635
1237,2024-05-19,P046,3,894
1238,2024-05-08,P014,8,2720
1239,2024-02-27,P047,6,2214
1240,2024-05-01,P008,2,1002
1241,2024-01-01,P015,3,1857
1242,2024-02-03,P027,8,4752
1243,2024-04-05,P013,7,4235
1244,2024-05-05,P031,6,3594
1245,2024-04-27,P035,1,527
1246,2024-02-17,P006,9,3159
1247,2024-03-29,P005,3,840
1248,2024-04-26,P022,5,3240
1249,2024-05-08,P023,7,4305
1250,2024-01-16,P025,7,3325
1251,2024-03-09,P034,3,1617
1252,2024-01-22,P026,4,1652
1253,2024-04-02,P047,7,2583
1254,2024-03-16,P005,8,2240
1255,2024-06-02,P026,2,826
1256,2024-05-23,P020,9,5229
1257,2024-06-27,P006,7,2457
1258,2024-03-26,P006,8,2808
1259,2024-01-29,P018,6,2820
1260,2024-03-09,P004,6,2064
1261,2024-02-16,P017,9,4302
1262,2024-04-03,P014,4,1360
1263,2024-05-23,P014,5,1700
1264,2024-06-24,P013,9,5445
1265,2024-03-25,P007,1,411
1266,2024-02-08,P044,4,1496
1267,2024-04-09,P015,7,4333
1268,2024-02-02,P019,9,4185
1269,2024-04-10,P043,6,2892
1270,2024-01-23,P047,8,2952
1271,2024-01-10,P044,9,3366
1272,2024-03-09,P035,4,2108
1273,2024-04-09,P017,1,478
1274,2024-02-03,P035,8,4216
1275,2024-06-28,P019,2,930
1276,2024-05-17,P020,1,581
1277,2024-05-26,P036,7,3955
1278,2024-04-05,P035,9,4743
1279,2024-01-01,P032,9,1809
1280,2024-03-09,P048,3,2049
1281,2024-01-04,P044,6,2244
1282,2024-01-16,P040,7,4998
1283,2024-01-24,P024,9,4536
1284,2024-03-20,P017,2,956
1285,2024-01-02,P007,8,3288
1286,2024-05-07,P043,7,3374
1287,2024-06-08,P001,4,1672
1288,2024-03-24,P035,2,1054
1289,2024-05-31,P032,8,1608
1290,2024-05-19,P036,5,2825
1291,2024-06-26,P013,6,3630
1292,2024-06-11,P006,7,2457
1293,2024-05-03,P014,1,340
1294,2024-02-02,P037,8,4448
1295,2024-06-09,P048,4,2732
1296,2024-06-27,P015,9,5571
1297,2024-06-19,P047,1,369
1298,2024-04-10,P004,2,688
1299,2024-01-12,P040,6,4284
1300,2024-03-07,P016,1,488
1301,2024-03-05,P028,4,688
1302,2024-06-09,P016,8,3904
1303,2024-06-16,P004,5,1720
1304,2024-03-14,P045,9,4527
1305,2024-02-12,P026,6,2478
1306,2024-02-13,P028,1,172
1307,2024-01-29,P032,6,1206
1308,2024-05-20,P045,6,3018
1309,2024-01-12,P002,6,3090
1310,2024-04-04,P031,8,4792
1311,2024-02-15,P003,6,3306
1312,2024-05-09,P008,5,2505
1313,2024-02-04,P024,2,1008
1314,2024-03-21,P015,4,2476
1315,2024-03-30,P043,5,2410
1316,2024-01-08,P031,4,2396
1317,2024-04-02,P009,2,558
1318,2024-06-02,P039,7,2527
1319,2024-03-30,P045,2,1006
1320,2024-06-10,P002,1,515
1321,2024-04-24,P008,5,2505
1322,2024-04-14,P007,1,411
1323,2024-05-14,P044,1,374
1324,2024-02-27,P039,1,361
1325,2024-04-23,P042,6,3720
1326,2024-03-15,P016,9,4392
1327,2024-06-05,P035,1,527
1328,2024-04-29,P030,5,2190
1329,2024-06-12,P010,9,4077
1330,2024-01-21,P038,9,3303
1331,2024-06-12,P018,1,470
1332,2024-05-17,P005,8,2240
1333,2024-04-10,P029,1,535
1334,2024-05-31,P039,8,2888
1335,2024-06-25,P034,1,539
1336,2024-04-08,P043,5,2410
1337,2024-02-05,P045,8,4024
1338,2024-04-05,P023,6,3690
1339,2024-05-31,P005,9,2520
1340,2024-05-30,P030,1,438
1341,2024-02-06,P006,9,3159
1342,2024-01-12,P046,1,298
1343,2024-04-22,P044,3,1122
1344,2024-01-13,P004,1,344
1345,2024-01-23,P029,3,1605
1346,2024-04-08,P023,2,1230
1347,2024-04-14,P006,2,702
1348,2024-01-30,P032,9,1809
1349,2024-01-17,P042,8,4960
1350,2024-04-22,P018,1,470
1351,2024-03-02,P015,4,2476
1352,2024-03-24,P040,1,714
1353,2024-04-21,P032,1,201
1354,2024-03-26,P009,4,1116
1355,2024-05-20,P037,2,1112
1356,2024-01-19,P010,3,1359
1357,2024-06-25,P020,9,5229
1358,2024-04-09,P006,2,702
1359,2024-05-19,P048,4,2732
1360,2024-05-26,P003,1,551
1361,2024-03-16,P042,2,1240
1362,2024-01-09,P011,5,2660
1363,2024-01-28,P043,1,482
1364,2024-05-07,P017,7,3346
1365,2024-02-21,P032,4,804
1366,2024-03-23,P004,6,2064
1367,2024-04-20,P004,8,2752
1368,2024-05-23,P017,6,2868
1369,2024-04-26,P041,2,786
